File,Cluster
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/10_Lovely Rita.mp3,3
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/05_Fixing a Hole.mp3,1
beatles_library/1967-05 Sgt. Pepper's Lonely Hearts Club Band/Full Album/Sgt. Pepper's Lonely Hearts Club.mp3,2
beatles_library/1970-05 Let It Be/06_Let It Be.mp3,2
beatles_library/1970-05 Let It Be/09_One After 909.mp3,2
beatles_library/1970-05 Let It Be/05_Dig It.mp3,2
beatles_library/1970-05 Let It Be/12_Get Back.mp3,2
beatles_library/1970-05 Let It Be/03_Across The Universe.mp3,1
beatles_library/1970-05 Let It Be/10_The Long And Winding Road.mp3,0
beatles_library/1970-05 Let It Be/11_For You Blue.mp3,2
beatles_library/1970-05 Let It Be/02_Dig A Pony.mp3,2
beatles_library/1970-05 Let It Be/01_Two Of Us.mp3,2
beatles_library/1970-05 Let It Be/04_I Me Mine.mp3,1
beatles_library/1970-05 Let It Be/07_Maggie Mae.mp3,2
beatles_library/1970-05 Let It Be/08_I've Got A Feeling.mp3,2
beatles_library/1970-05 Let It Be/Full Album/Let It Be.mp3,2
beatles_library/1967-10 Magical Mystery Tour/08_Strawberry Fields Forever.mp3,2
beatles_library/1967-10 Magical Mystery Tour/06_I Am the Walrus.mp3,2
beatles_library/1967-10 Magical Mystery Tour/01_Magical Mystery Tour.mp3,1
beatles_library/1967-10 Magical Mystery Tour/09_Penny Lane.mp3,2
beatles_library/1967-10 Magical Mystery Tour/05_Your Mother Should Know.mp3,2
beatles_library/1967-10 Magical Mystery Tour/02_The Fool on the Hill.mp3,0
beatles_library/1967-10 Magical Mystery Tour/10_Baby You’re a Rich Man.mp3,2
beatles_library/1967-10 Magical Mystery Tour/03_Flying.mp3,2
beatles_library/1967-10 Magical Mystery Tour/04_Blue Jay Way.mp3,2
beatles_library/1967-10 Magical Mystery Tour/11_All You Need Is Love.mp3,1
beatles_library/1967-10 Magical Mystery Tour/07_Hello Goodbye.mp3,1
beatles_library/1964-12 Beatles for Sale/08_Eight Days a Week.mp3,1
beatles_library/1964-12 Beatles for Sale/04_Rock & Roll Music.mp3,1
beatles_library/1964-12 Beatles for Sale/13_What You're Doing.mp3,2
beatles_library/1964-12 Beatles for Sale/01_No Reply.mp3,1
beatles_library/1964-12 Beatles for Sale/12_I Don't Want to Spoil the Party.mp3,1
beatles_library/1964-12 Beatles for Sale/05_I'll Follow the Sun.mp3,0
beatles_library/1964-12 Beatles for Sale/07_Kansas City-Hey-Hey-Hey-Hey!.mp3,1
beatles_library/1964-12 Beatles for Sale/10_Honey Don't.mp3,2
beatles_library/1964-12 Beatles for Sale/02_I'm a Loser.mp3,1
beatles_library/1964-12 Beatles for Sale/09_Words of Love.mp3,2
beatles_library/1964-12 Beatles for Sale/14_Everybody's Trying to Be My Baby.mp3,1
beatles_library/1964-12 Beatles for Sale/03_Baby's in Black.mp3,1
beatles_library/1964-12 Beatles for Sale/11_Every Little Thing.mp3,2
beatles_library/1964-12 Beatles for Sale/06_Mr. Moonlight.mp3,0
beatles_library/1968-11 The Beatles [White Album]/Disc 1/01_Back in the U.S.S.R..mp3,1
beatles_library/1968-11 The Beatles [White Album]/Disc 1/10_I'm So Tired.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/12_Piggies.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/13_Rocky Racoon.mp3,3
"beatles_library/1968-11 The Beatles [White Album]/Disc 1/04_Ob-La-Di, Ob-La-Da.mp3",3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/17_Julia.mp3,0
beatles_library/1968-11 The Beatles [White Album]/Disc 1/14_Don't Pass Me By.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/08_Happiness is a Warm Gun.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/15_Why Don't We Do It in the Road.mp3,2
beatles_library/1968-11 The Beatles [White Album]/Disc 1/03_Glass Onion.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/16_I Will.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/02_Dear Prudence.mp3,2
beatles_library/1968-11 The Beatles [White Album]/Disc 1/07_While My Guitar Gently Weeps.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/09_Martha My Dear.mp3,0
beatles_library/1968-11 The Beatles [White Album]/Disc 1/05_Wild Honey Pie.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 1/11_Blackbird.mp3,0
beatles_library/1968-11 The Beatles [White Album]/Disc 1/06_The Continuing Story of Bungalow Bill.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/09_Honey Pie.mp3,0
"beatles_library/1968-11 The Beatles [White Album]/Disc 2/07_Long, Long, Long.mp3",0
beatles_library/1968-11 The Beatles [White Album]/Disc 2/03_Mother Nature's Son.mp3,0
beatles_library/1968-11 The Beatles [White Album]/Disc 2/05_Sexy Sadie.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/02_Yer Blues.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/13_Good Night.mp3,0
beatles_library/1968-11 The Beatles [White Album]/Disc 2/11_Cry Baby Cry.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/12_Revolution 9.mp3,2
beatles_library/1968-11 The Beatles [White Album]/Disc 2/10_Savoy Truffle.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/01_Birthday.mp3,2
beatles_library/1968-11 The Beatles [White Album]/Disc 2/08_Revolution 1.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/06_Helter Skelter.mp3,3
beatles_library/1968-11 The Beatles [White Album]/Disc 2/04_Everybody's Got Something To Hide Except Me And My Monkey.mp3,3
beatles_library/1969-01 Yellow Submarine/10_Sea Of Monsters.mp3,0
beatles_library/1969-01 Yellow Submarine/11_March Of The Meanies.mp3,0
beatles_library/1969-01 Yellow Submarine/13_Yellow Submarine In Pepperland.mp3,0
beatles_library/1969-01 Yellow Submarine/04_Hey Bulldog.mp3,1
beatles_library/1969-01 Yellow Submarine/03_All Together Now.mp3,2
beatles_library/1969-01 Yellow Submarine/12_Pepperland Laid Waste.mp3,0
beatles_library/1969-01 Yellow Submarine/02_Only A Northern Song.mp3,1
beatles_library/1969-01 Yellow Submarine/07_Pepper Land.mp3,0
beatles_library/1969-01 Yellow Submarine/01_Yellow Submarine.mp3,2
beatles_library/1969-01 Yellow Submarine/08_Sea Of Time.mp3,0
beatles_library/1969-01 Yellow Submarine/05_It's All Too Much.mp3,1
beatles_library/1969-01 Yellow Submarine/09_Sea Of Holes.mp3,0
beatles_library/1969-01 Yellow Submarine/06_All You Need Is Love.mp3,1
beatles_library/1965-08 Help! (2009 Remaster)/08_Act Naturally.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/01_Help!.mp3,1
beatles_library/1965-08 Help! (2009 Remaster)/03_You've Got To Hide Your Love Away.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/12_I've Just Seen A Face.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/13_Yesterday.mp3,0
beatles_library/1965-08 Help! (2009 Remaster)/04_I Need You.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/02_The Night Before.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/07_Ticket To Ride.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/11_Tell Me What You See.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/14_Dizzy Miss Lizzy.mp3,1
beatles_library/1965-08 Help! (2009 Remaster)/09_It's Only Love.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/10_You Like Me Too Much.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/05_Another Girl.mp3,3
beatles_library/1965-08 Help! (2009 Remaster)/06_You're Going To Lose That Girl.mp3,3
beatles_library/1964-06 A Hard Day's Night/10_Things We Said Today.mp3,1
beatles_library/1964-06 A Hard Day's Night/09_I'll Cry Instead.mp3,1
beatles_library/1964-06 A Hard Day's Night/12_You Can't Do That.mp3,1
beatles_library/1964-06 A Hard Day's Night/05_And I Love Her.mp3,0
beatles_library/1964-06 A Hard Day's Night/13_I'll Be Back.mp3,1
beatles_library/1964-06 A Hard Day's Night/08_Any Time at All.mp3,1
beatles_library/1964-06 A Hard Day's Night/04_I'm Happy Just to Dance With You.mp3,1
beatles_library/1964-06 A Hard Day's Night/07_Can't Buy Me Love.mp3,1
beatles_library/1964-06 A Hard Day's Night/02_I Should Have Known Better.mp3,1
beatles_library/1964-06 A Hard Day's Night/06_Tell Me Why.mp3,1
beatles_library/1964-06 A Hard Day's Night/11_When I Get Home.mp3,1
beatles_library/1964-06 A Hard Day's Night/01_A Hard Day's Night.mp3,1
beatles_library/1964-06 A Hard Day's Night/03_If I Fell.mp3,0
beatles_library/1963-11 With the Beatles/11_I Wanna Be Your Man.mp3,1
beatles_library/1963-11 With the Beatles/01_It Won't Be Long.mp3,1
beatles_library/1963-11 With the Beatles/14_Money (That's What I Want).mp3,1
beatles_library/1963-11 With the Beatles/08_Roll over Beethoven.mp3,1
beatles_library/1963-11 With the Beatles/07_Please Mr. Postman.mp3,1
beatles_library/1963-11 With the Beatles/09_Hold Me Tight.mp3,1
beatles_library/1963-11 With the Beatles/10_You've Really Got a Hold on Me.mp3,1
beatles_library/1963-11 With the Beatles/04_Don't Bother Me.mp3,1
beatles_library/1963-11 With the Beatles/13_Not a Second Time.mp3,1
beatles_library/1963-11 With the Beatles/12_Devil in Her Heart.mp3,1
beatles_library/1963-11 With the Beatles/06_Till There Was You.mp3,0
beatles_library/1963-11 With the Beatles/05_Little Child.mp3,1
beatles_library/1963-11 With the Beatles/03_All My Loving.mp3,1
beatles_library/1963-11 With the Beatles/02_All I've Got to Do.mp3,2
beatles_library/1963-03 Please Please Me/11_Do You Want to Know a Secret.mp3,2
beatles_library/1963-03 Please Please Me/06_Ask Me Why.mp3,1
beatles_library/1963-03 Please Please Me/01_I Saw Her Standing There.mp3,1
beatles_library/1963-03 Please Please Me/03_Anna (Go to Him).mp3,2
beatles_library/1963-03 Please Please Me/05_Boys.mp3,1
beatles_library/1963-03 Please Please Me/10_Baby It's You.mp3,1
beatles_library/1963-03 Please Please Me/12_A Taste of Honey.mp3,2
beatles_library/1963-03 Please Please Me/02_Misery.mp3,1
beatles_library/1963-03 Please Please Me/08_Love Me Do.mp3,2
beatles_library/1963-03 Please Please Me/07_Please Please Me.mp3,1
beatles_library/1963-03 Please Please Me/09_P.S. I Love You.mp3,1
beatles_library/1963-03 Please Please Me/14_Twist and Shout.mp3,1
beatles_library/1963-03 Please Please Me/13_There's a Place.mp3,1
beatles_library/1963-03 Please Please Me/04_Chains.mp3,1
,
,48
